PassengerId,Pclass,Sex,Age,Parch,Embarked,Title,Deck,FamilySize,IsAlone
1,3,0,22.0,0,0,Mr,8,2,0
2,1,1,38.0,0,1,Mrs,2,2,0
3,3,1,26.0,0,0,Miss,8,1,1
4,1,1,35.0,0,0,Mrs,2,2,0
5,3,0,35.0,0,0,Mr,8,1,1
6,3,0,30.0,0,2,Mr,8,1,1
7,1,0,54.0,0,0,Mr,4,1,1
8,3,0,2.0,1,0,Master,8,5,0
9,3,1,27.0,2,0,Mrs,8,3,0
10,2,1,14.0,0,1,Mrs,8,2,0
11,3,1,4.0,1,0,Miss,6,3,0
12,1,1,58.0,0,0,Miss,2,1,1
13,3,0,20.0,0,0,Mr,8,1,1
14,3,0,39.0,5,0,Mr,8,7,0
15,3,1,14.0,0,0,Miss,8,1,1
16,2,1,55.0,0,0,Mrs,8,1,1
17,3,0,2.0,1,2,Master,8,6,0
18,2,0,30.0,0,0,Mr,8,1,1
19,3,1,31.0,0,0,Mrs,8,2,0
20,3,1,35.0,0,1,Mrs,8,1,1
21,2,0,35.0,0,0,Mr,8,1,1
22,2,0,34.0,0,0,Mr,3,1,1
23,3,1,15.0,0,2,Miss,8,1,1
24,1,0,28.0,0,0,Mr,0,1,1
25,3,1,8.0,1,0,Miss,8,5,0
26,3,1,38.0,5,0,Mrs,8,7,0
27,3,0,30.0,0,1,Mr,8,1,1
28,1,0,19.0,2,0,Mr,2,6,0
29,3,1,21.0,0,2,Miss,8,1,1
30,3,0,30.0,0,0,Mr,8,1,1
31,1,0,40.0,0,1,Rare,8,1,1
32,1,1,35.0,0,1,Mrs,1,2,0
33,3,1,21.0,0,2,Miss,8,1,1
34,2,0,66.0,0,0,Mr,8,1,1
35,1,0,28.0,0,1,Mr,8,2,0
36,1,0,42.0,0,0,Mr,8,2,0
37,3,0,30.0,0,1,Mr,8,1,1
38,3,0,21.0,0,0,Mr,8,1,1
39,3,1,18.0,0,0,Miss,8,3,0
40,3,1,14.0,0,1,Miss,8,2,0
41,3,1,40.0,0,0,Mrs,8,2,0
42,2,1,27.0,0,0,Mrs,8,2,0
43,3,0,30.0,0,1,Mr,8,1,1
44,2,1,3.0,2,1,Miss,8,4,0
45,3,1,19.0,0,2,Miss,8,1,1
46,3,0,30.0,0,0,Mr,8,1,1
47,3,0,30.0,0,2,Mr,8,2,0
48,3,1,21.0,0,2,Miss,8,1,1
49,3,0,30.0,0,1,Mr,8,3,0
50,3,1,18.0,0,0,Mrs,8,2,0
51,3,0,7.0,1,0,Master,8,6,0
52,3,0,21.0,0,0,Mr,8,1,1
53,1,1,49.0,0,1,Mrs,3,2,0
54,2,1,29.0,0,0,Mrs,8,2,0
55,1,0,65.0,1,1,Mr,1,2,0
56,1,0,30.0,0,0,Mr,2,1,1
57,2,1,21.0,0,0,Miss,8,1,1
58,3,0,28.5,0,1,Mr,8,1,1
59,2,1,5.0,2,0,Miss,8,4,0
60,3,0,11.0,2,0,Master,8,8,0
61,3,0,22.0,0,1,Mr,8,1,1
62,1,1,38.0,0,0,Miss,1,1,1
63,1,0,45.0,0,0,Mr,2,2,0
64,3,0,4.0,2,0,Master,8,6,0
65,1,0,30.0,0,1,Mr,8,1,1
66,3,0,3.5,1,1,Master,8,3,0
67,2,1,29.0,0,0,Mrs,5,1,1
68,3,0,19.0,0,0,Mr,8,1,1
69,3,1,17.0,2,0,Miss,8,7,0
70,3,0,26.0,0,0,Mr,8,3,0
71,2,0,32.0,0,0,Mr,8,1,1
72,3,1,16.0,2,0,Miss,8,8,0
73,2,0,21.0,0,0,Mr,8,1,1
74,3,0,26.0,0,1,Mr,8,2,0
75,3,0,32.0,0,0,Mr,8,1,1
76,3,0,25.0,0,0,Mr,5,1,1
77,3,0,30.0,0,0,Mr,8,1,1
78,3,0,30.0,0,0,Mr,8,1,1
79,2,0,0.83,2,0,Master,8,3,0
80,3,1,30.0,0,0,Miss,8,1,1
81,3,0,22.0,0,0,Mr,8,1,1
82,3,0,29.0,0,0,Mr,8,1,1
83,3,1,21.0,0,2,Miss,8,1,1
84,1,0,28.0,0,0,Mr,8,1,1
85,2,1,17.0,0,0,Miss,8,1,1
86,3,1,33.0,0,0,Mrs,8,4,0
87,3,0,16.0,3,0,Mr,8,5,0
88,3,0,30.0,0,0,Mr,8,1,1
89,1,1,23.0,2,0,Miss,2,6,0
90,3,0,24.0,0,0,Mr,8,1,1
91,3,0,29.0,0,0,Mr,8,1,1
92,3,0,20.0,0,0,Mr,8,1,1
93,1,0,46.0,0,0,Mr,4,2,0
94,3,0,26.0,2,0,Mr,8,4,0
95,3,0,59.0,0,0,Mr,8,1,1
96,3,0,30.0,0,0,Mr,8,1,1
97,1,0,71.0,0,1,Mr,0,1,1
98,1,0,23.0,1,1,Mr,3,2,0
99,2,1,34.0,1,0,Mrs,8,2,0
100,2,0,34.0,0,0,Mr,8,2,0
101,3,1,28.0,0,0,Miss,8,1,1
102,3,0,30.0,0,0,Mr,8,1,1
103,1,0,21.0,1,0,Mr,3,2,0
104,3,0,33.0,0,0,Mr,8,1,1
105,3,0,37.0,0,0,Mr,8,3,0
106,3,0,28.0,0,0,Mr,8,1,1
107,3,1,21.0,0,0,Miss,8,1,1
108,3,0,30.0,0,0,Mr,8,1,1
109,3,0,38.0,0,0,Mr,8,1,1
110,3,1,21.0,0,2,Miss,8,2,0
111,1,0,47.0,0,0,Mr,2,1,1
112,3,1,14.5,0,1,Miss,8,2,0
113,3,0,22.0,0,0,Mr,8,1,1
114,3,1,20.0,0,0,Miss,8,2,0
115,3,1,17.0,0,1,Miss,8,1,1
116,3,0,21.0,0,0,Mr,8,1,1
117,3,0,70.5,0,2,Mr,8,1,1
118,2,0,29.0,0,0,Mr,8,2,0
119,1,0,24.0,1,1,Mr,1,2,0
120,3,1,2.0,2,0,Miss,8,7,0
121,2,0,21.0,0,0,Mr,8,3,0
122,3,0,30.0,0,0,Mr,8,1,1
123,2,0,32.5,0,1,Mr,8,2,0
124,2,1,32.5,0,0,Miss,4,1,1
125,1,0,54.0,1,0,Mr,3,2,0
126,3,0,12.0,0,1,Master,8,2,0
127,3,0,30.0,0,2,Mr,8,1,1
128,3,0,24.0,0,0,Mr,8,1,1
129,3,1,21.0,1,1,Miss,5,3,0
130,3,0,45.0,0,0,Mr,8,1,1
131,3,0,33.0,0,1,Mr,8,1,1
132,3,0,20.0,0,0,Mr,8,1,1
133,3,1,47.0,0,0,Mrs,8,2,0
134,2,1,29.0,0,0,Mrs,8,2,0
135,2,0,25.0,0,0,Mr,8,1,1
136,2,0,23.0,0,1,Mr,8,1,1
137,1,1,19.0,2,0,Miss,3,3,0
138,1,0,37.0,0,0,Mr,2,2,0
139,3,0,16.0,0,0,Mr,8,1,1
140,1,0,24.0,0,1,Mr,1,1,1
141,3,1,35.0,2,1,Mrs,8,3,0
142,3,1,22.0,0,0,Miss,8,1,1
143,3,1,24.0,0,0,Mrs,8,2,0
144,3,0,19.0,0,2,Mr,8,1,1
145,2,0,18.0,0,0,Mr,8,1,1
146,2,0,19.0,1,0,Mr,8,3,0
147,3,0,27.0,0,0,Mr,8,1,1
148,3,1,9.0,2,0,Miss,8,5,0
149,2,0,36.5,2,0,Mr,5,3,0
150,2,0,42.0,0,0,Rare,8,1,1
151,2,0,51.0,0,0,Rare,8,1,1
